title,description,servings,total_time_iso,ingredients,steps,tags
Knödel mit Schwammerlsoße,Semmelknödel mit cremiger Pilzrahmsoße. TM-Hinweis: Soße im Mixtopf; Knödel im Varoma dämpfen.,4 Personen,PT30M,8 Semmelknödel (frisch oder Fertigprodukt)|400 g Pilze gemischt|1 Zwiebel|200 ml Sahne|200 ml Gemüsebrühe|2 EL Butter|Salz|Pfeffer|Petersilie,"Knödel nach Anleitung zubereiten. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel anschwitzen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Pilze zugeben und braten. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Mit Brühe und Sahne aufgießen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|5–8 Minuten köcheln (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Petersilie bestreuen und zu Knödeln servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","vegetarisch,soße"
Selbstgemachte Schnitzel,"Paniertes Schweine- oder Kalbsschnitzel, goldgelb ausgebacken. TM-Hinweis: Panade-Zutaten im Mixtopf zerkleinern/mischen.",4 Personen,PT25M,4 Schweine|oder Kalbsschnitzel (je 150–180 g)|Salz|Pfeffer|Mehl|2 Eier|Semmelbrösel|Butterschmalz zum Ausbacken|Zitronenspalten,Schnitzel flach klopfen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|salzen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|pfeffern. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|In Mehl wenden (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|durch verquirlte Eier ziehen und in Semmelbröseln wenden. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|In heißem Butterschmalz schwimmend goldbraun ausbacken. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).|Mit Zitrone servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).,"klassiker,hauptgericht"
Gefüllte Zucchini,Mit Hackreis-Füllung und Käse überbacken. TM-Hinweis: Füllung im Mixtopf zerkleinern/mischen.,4 Personen,PT45M,4 kleine Zucchini|300 g Rinderhack|1 Beutel Reis (oder 120 g Rohreis)|1 Zwiebel|1 Knoblauchzehe|1 Dose Tomaten (400 g)|100 g geriebener Käse|2 EL Öl|Salz|Pfeffer|Oregano,"Zucchini halbieren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|aushöhlen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Reis garen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel/Knoblauch anschwitzen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Hack anbraten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Tomaten und Gewürze zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Reis untermischen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zucchini füllen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Käse bestreuen und bei 180°C 20–25 Minuten backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).","ofen,gemaeuse"
Moussaka,"Griechischer Auflauf mit Auberginen, Hack und Béchamel. TM-Hinweis: Bolo & Béchamel im Mixtopf, Auberginen im Ofen vorbacken.",4 Personen,PT1H15M,2 Auberginen|500 g Hack (Rind/Lamm)|1 Zwiebel|2 Knoblauchzehen|1 Dose Tomaten (400 g)|2 EL Tomatenmark|Zimt/Allspice (Prise)|Olivenöl|Salz|Pfeffer|Béchamel: 60 g Butter|60 g Mehl|600 ml Milch|Muskat|Käse zum Überbacken,"Auberginen in Scheiben schneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|salzen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|20 Min ziehen lassen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|trocken tupfen und im Ofen vorbacken. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).|Hack mit Zwiebel/Knoblauch krümelig braten (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Tomatenmark rösten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Tomaten und Gewürze zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|köcheln. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Béchamel kochen. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Schichten: Auberginen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Hack (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Béchamel (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|bei 180–200°C ca. 35 Minuten backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).","auflauf,griechisch"
Kreative Burger,"Selbstgemachte Burger-Patties mit variablen Toppings (Cheddar, Bacon, Avocado, etc.). TM-Hinweis: Pattie-Masse kurz mischen; Saucen im Mixtopf.",4 Personen,PT25M,"600 g Rinderhack|4 Burgerbrötchen|Salz|Pfeffer|4 Scheiben Käse (z. B. Cheddar)|Toppings nach Wahl (Tomate, Salat, Gurke, Zwiebel, Bacon, Avocado)|Saucen nach Wahl",Hack salzen/pfeffern (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|4 Patties formen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Patties in Pfanne/Grill braten (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Käse zum Schmelzen auflegen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Brötchen kurz rösten (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|mit Toppings und Saucen nach Wunsch belegen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).,"fingerfood,grill"
Bruschetta,Geröstetes Brot mit Tomaten-Knoblauch-Belag. TM-Hinweis: Tomatenwürfel & Marinade 3–4 Sek./Stufe 4 mischen.,4 Personen,PT15M,1 Baguette oder Ciabatta|5 Tomaten|2 Knoblauchzehen|2 EL Olivenöl|Basilikum|Salz|Pfeffer,"Brot in Scheiben schneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|im Ofen rösten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).|Tomaten würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|mit Knoblauch (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Öl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Basilikum (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz und Pfeffer mischen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Auf das warme Brot geben und sofort servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","vorspeise,vegetarisch"
Selbstgemachte Pizza,Einfacher Pizzateig mit Tomatensauce und Wunschbelag. TM-Hinweis: Teig 2 Min./Knetstufe; Sauce 5 Sek./Stufe 5.,4 Personen,PT1H30M,Teig: 500 g Mehl|300 ml Wasser|1 Päckchen Trockenhefe|1 TL Salz|1 EL Olivenöl|Sauce: 1 Dose Tomaten (400 g)|1 Knoblauchzehe|Salz|Oregano|Belag nach Wahl|Käse|gerieben,"Teig kneten und 60 Minuten gehen lassen. (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|Sauce aus Tomaten (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Knoblauch (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Oregano rühren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Teig ausrollen (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|belegen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|bei 250°C (oder Maximum) 10–12 Minuten backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).","pizza,familie"
Sommerrollen,"Frische Reispapierrollen mit Gemüse, Kräutern und ggf. Garnelen/Tofu. TM-Hinweis: Erdnusssauce 5 Sek./Stufe 5 mischen.",4 Personen,PT30M,"12 Reispapierblätter|200 g Reisnudeln (dünn)|1 Möhre|1 Gurke|1 Paprika|Kräuter (Minze, Koriander)|200 g Garnelen oder Tofu|Dip: 2 EL Erdnussbutter|1 EL Sojasoße|1 TL Honig|Limettensaft|Wasser","Reisnudeln garen und kalt abschrecken. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Gemüse in feine Streifen schneiden (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Garnelen kurz anbraten (oder Tofu). (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Reispapier in warmem Wasser weich machen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|füllen und straff aufrollen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Erdnuss-Dip servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","fingerfood,leicht"
Selbstgemachter Flammkuchen,"Knuspriger Teig mit Schmand, Zwiebeln, Speck oder vegetarisch. TM-Hinweis: Teig 2 Min./Knetstufe.",4 Personen,PT35M,Teig: 250 g Mehl|125 ml Wasser|2 EL Öl|1/2 TL Salz|Belag: 200 g Schmand|2 Zwiebeln|100 g Speckwürfel (optional)|Salz|Pfeffer,"Teig kneten (im TM: 30 Sek./Stufe 4 mischen, dann 2 Min./Knetstufe).|dünn ausrollen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Schmand bestreichen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebeln in feinen Ringen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Speck darüber. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bei 250°C 8–10 Minuten knusprig backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden; Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).","ofen,elsass"
Kohlrouladen,Mit Hack gefüllte Weißkohlblätter in Tomatensoße. TM-Hinweis: Füllung im Mixtopf mischen; Soße im Mixtopf.,4 Personen,PT1H10M,8 große Weißkohlblätter|500 g Hackfleisch|1 Zwiebel|1 Ei|2 EL Semmelbrösel|1 TL Senf|Salz|Pfeffer|Sauce: 1 Dose Tomaten (400 g)|1 Zwiebel|1 EL Tomatenmark|200 ml Brühe,"Kohlblätter in Salzwasser blanchieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Füllung aus Hack (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Ei (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bröseln (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Senf (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer mischen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Aufrollen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|in Topf/Pfanne rundum anbraten. (im TM: mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Tomatensoße anrühren (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|angießen und 30–40 Minuten schmoren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","klassiker,schmorgericht"
Kartoffelgratin,Cremiges Gratin mit Sahne und Käse. TM-Hinweis: Sahne-Mischung im Mixtopf erhitzen; Kartoffeln hobeln.,4 Personen,PT1H10M,1 kg festkochende Kartoffeln|300 ml Sahne|100 ml Milch|1 Knoblauchzehe|Salz|Pfeffer|Muskat|100 g geriebener Käse,"Kartoffeln schälen und in dünne Scheiben hobeln. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Sahne (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Milch (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|gepressten Knoblauch und Gewürze verrühren. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Kartoffeln in Auflaufform schichten (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mischung darübergießen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Käse bestreuen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Bei 180–200°C 45–55 Minuten backen. (im TM: Hinweis: Backofen extern nutzen; TM für Saucen/Beilagen verwenden).","beilage,ofen"
Cevapcici mit selbstgemachtem Zaziki,"Würzige Hackröllchen mit Knoblauch-Joghurt-Dip. TM-Hinweis: Zaziki im Mixtopf rühren, Hackmasse kurz mischen.",4 Personen,PT35M,600 g Rinder|oder Lammhack|1 Zwiebel|2 Knoblauchzehen|1 TL Paprika edelsüß|1 TL Kreuzkümmel|Salz|Pfeffer|Öl zum Braten|Zaziki: 300 g Joghurt|1/2 Gurke gerieben|1 Knoblauchzehe|Salz|Pfeffer|1 EL Olivenöl,"Hack mit fein gehackter Zwiebel/Knoblauch (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Gewürzen mischen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|kleine Röllchen formen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|In etwas Öl rundum braten oder grillen. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Zaziki rühren und dazu servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","balkan,grill"
Jause (Brotzeitplatte),"Österreichische Brotzeit mit Brot, Aufschnitt, Käse, Essiggurke. TM-Hinweis: Aufstriche im Mixtopf zubereiten.",4 Personen,PT10M,Bauernbrot oder Semmeln|Verschiedene Wurst|und Schinkensorten|Käseauswahl|Essiggurken|Pfefferoni|Butter|Aufstriche|Radieschen|Tomaten,Alles ansprechend auf einer Platte anrichten. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Brot in Scheiben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Aufschnitt und Käse fächerförmig legen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Gurken und Gemüse garnieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).,"brotzeit,kalt"
Grünkohl und Pinkel,"Norddeutscher Klassiker mit Grünkohl, Pinkelwurst, Kassler. TM-Hinweis: Grünkohl im Mixtopf garen; Fleisch separat.",4 Personen,PT1H30M,1 kg Grünkohl (frisch oder TK)|1 Zwiebel|2 EL Schmalz oder Öl|500 ml Brühe|4 Pinkelwürste|300 g Kassler|Salz|Pfeffer|Senf,"Zwiebel anschwitzen (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Grünkohl zugeben und mit Brühe garen (45–60 Min). (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Pinkel und Kassler in den letzten 20 Minuten mitgaren. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Mit Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Senf abschmecken. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","norddeutsch,winter"
Blunzengröstl,"Tiroler Gröstl-Variante mit Blutwurst. TM-Hinweis: Kartoffeln im Mixtopf garen, dann Pfanne fürs Knusprige.",4 Personen,PT30M,600 g gekochte Kartoffeln|300 g Blutwurst (Blunzen)|1 Zwiebel|2 EL Butterschmalz|Salz|Pfeffer|Majoran,"Kartoffeln in Scheiben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel in Ringe schneiden. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|In Schmalz Zwiebeln anbraten (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt); Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Kartoffeln zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|knusprig braten. (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|Blutwurst in Scheiben zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|kurz mitbraten (im TM: Für Röstaromen Pfanne/Backofen; alternativ TM6 Anbratfunktion nutzen (5 Min.)).|würzen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","alpenkueche,pfanne"
Essigwurst,Kaltes Gericht: Wurstsalat in Essig-Öl-Marinade mit Zwiebel. TM-Hinweis: Marinade 5 Sek./Stufe 4 mischen.,4 Personen,PT15M,400 g Lyoner/Fleischwurst|1 Zwiebel|4 EL Weißweinessig|3 EL Öl|1 TL Senf|Salz|Pfeffer|Schnittlauch,"Wurst in Streifen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Zwiebel in Ringe schneiden. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Marinade aus Essig (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Öl (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Senf (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Salz (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Pfeffer rühren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Alles mischen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|mit Schnittlauch bestreuen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|ziehen lassen. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","salat,kalt"
Kürbissuppe,"Cremige Suppe aus Hokkaido mit Kokos oder Sahne. TM-Hinweis: Alles im Mixtopf 20–25 Min./100°C garen, pürieren.",4 Personen,PT35M,1 kg Hokkaido-Kürbis|1 Zwiebel|1 Knoblauchzehe|700 ml Gemüsebrühe|200 ml Kokosmilch oder Sahne|2 EL Öl|Salz|Pfeffer|Muskat|Kürbiskerne (zum Topping),"Kürbis entkernen (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|würfeln (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben).|Zwiebel/Knoblauch hacken und anschwitzen. (im TM: Zwiebel/Knoblauch 5 Sek./Stufe 5 zerkleinern, mit Spatel nach unten schieben; mit 1 EL Öl 3–5 Min./120 °C/Linkslauf/Stufe 1 dünsten (Messbecher entfernt)).|Kürbis zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|Brühe angießen und 20 Minuten köcheln. (im TM: 10–20 Min./98 °C/Linkslauf/Stufe 1 garen).|Kokosmilch/Sahne zugeben (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).|pürieren und abschmecken. (im TM: 20–40 Sek./Stufe 6–8 pürieren (mit Messbecher)).|Mit Kernen servieren. (im TM: je nach Schritt 10 Sek./Stufe 3 mischen oder 5–10 Min./98 °C/Linkslauf/Stufe 1 garen).","suppe,herbst"
