slug,title,description,servings,total_time_iso,ingredients_pipe_separated,steps_pipe_separated,tags_comma_separated
jause-brotzeitplatte,Jause (Brotzeitplatte),"Österreichische Brotzeit mit Brot, Aufschnitt, Käse, Essiggurke. TM-Hinweis: Aufstriche im Mixtopf zubereiten.",4 Portionen,PT10M,"Bauernbrot oder Semmeln|Verschiedene Wurst- und Schinkensorten|Käseauswahl|Essiggurken, Pfefferoni|Butter, Aufstriche|Radieschen, Tomaten","Alles ansprechend auf einer Platte anrichten.|Brot in Scheiben, Aufschnitt und Käse fächerförmig legen.|Mit Gurken und Gemüse garnieren.","brotzeit,kalt"
grunkohl-und-pinkel,Grünkohl und Pinkel,"Norddeutscher Klassiker mit Grünkohl, Pinkelwurst, Kassler. TM-Hinweis: Grünkohl im Mixtopf garen; Fleisch separat.",4 Portionen,PT1H30M,"1 kg Grünkohl (frisch oder TK)|1 Zwiebel|2 EL Schmalz oder Öl|500 ml Brühe|4 Pinkelwürste|300 g Kassler|Salz, Pfeffer, Senf","Zwiebel anschwitzen, Grünkohl zugeben und mit Brühe garen (45–60 Min).|Pinkel und Kassler in den letzten 20 Minuten mitgaren.|Mit Salz, Pfeffer, Senf abschmecken.","norddeutsch,winter"
blunzengrostl,Blunzengröstl,"Tiroler Gröstl-Variante mit Blutwurst. TM-Hinweis: Kartoffeln im Mixtopf garen, dann Pfanne fürs Knusprige.",4 Portionen,PT30M,"600 g gekochte Kartoffeln|300 g Blutwurst (Blunzen)|1 Zwiebel|2 EL Butterschmalz|Salz, Pfeffer, Majoran","Kartoffeln in Scheiben, Zwiebel in Ringe schneiden.|In Schmalz Zwiebeln anbraten, Kartoffeln zugeben, knusprig braten.|Blutwurst in Scheiben zugeben, kurz mitbraten; würzen.","alpenkueche,pfanne"
essigwurst,Essigwurst,Kaltes Gericht: Wurstsalat in Essig-Öl-Marinade mit Zwiebel. TM-Hinweis: Marinade 5 Sek./Stufe 4 mischen.,4 Portionen,PT15M,"400 g Lyoner/Fleischwurst|1 Zwiebel|4 EL Weißweinessig|3 EL Öl|1 TL Senf|Salz, Pfeffer|Schnittlauch","Wurst in Streifen, Zwiebel in Ringe schneiden.|Marinade aus Essig, Öl, Senf, Salz, Pfeffer rühren.|Alles mischen, mit Schnittlauch bestreuen, ziehen lassen.","salat,kalt"
kurbissuppe,Kürbissuppe,"Cremige Suppe aus Hokkaido mit Kokos oder Sahne. TM-Hinweis: Alles im Mixtopf 20–25 Min./100°C garen, pürieren.",4 Portionen,PT35M,"1 kg Hokkaido-Kürbis|1 Zwiebel|1 Knoblauchzehe|700 ml Gemüsebrühe|200 ml Kokosmilch oder Sahne|2 EL Öl|Salz, Pfeffer, Muskat|Kürbiskerne (zum Topping)","Kürbis entkernen, würfeln; Zwiebel/Knoblauch hacken und anschwitzen.|Kürbis zugeben, Brühe angießen und 20 Minuten köcheln.|Kokosmilch/Sahne zugeben, pürieren und abschmecken.|Mit Kernen servieren.","suppe,herbst"
griechischer-salat,Griechischer Salat,"Tomaten-Gurken-Feta-Salat mit Oliven und Oregano. TM-Hinweis: Dressing 5 Sek./Stufe 4 mischen, Gemüse groß lassen.",4 Portionen,PT15M,"4 Tomaten|1 Gurke|1 rote Zwiebel|150 g Feta|Handvoll schwarze Oliven|2 EL Olivenöl|1 EL Rotweinessig|Oregano, Salz, Pfeffer","Tomaten, Gurke, Zwiebel in Stücke/Ringe schneiden.|Mit Feta und Oliven mischen.|Mit Öl, Essig, Oregano, Salz, Pfeffer anmachen.","salat,mediterran"
gabis-mediterraner-nudelsalat,Gabis mediterraner Nudelsalat,"Pasta-Salat mit getrockneten Tomaten, Oliven, Feta. TM-Hinweis: Dressing im Mixtopf rühren.",4 Portionen,PT25M,"400 g kurze Pasta|8 getrocknete Tomaten in Öl|150 g Feta|1 rote Paprika|Handvoll Oliven|Rucola (optional)|Dressing: 3 EL Olivenöl, 1 EL Balsamico, 1 TL Senf, Salz, Pfeffer","Pasta kochen und abkühlen lassen.|Gemüse schneiden, Feta würfeln.|Dressing rühren, alles mischen, ggf. Rucola unterheben.","salat,mitbring"
hot-dogs,Hot Dogs,"Schnelle Hot Dogs mit Würstchen, Brötchen, Gurken, Röstzwiebeln. TM-Hinweis: Relish/kleine Saucen im Mixtopf.",4 Portionen,PT10M,"8 Hot-Dog-Brötchen|8 Wiener/Hotdog-Würstchen|Senf, Ketchup, Mayonnaise|Gewürzgurken in Scheiben|Röstzwiebeln","Würstchen heiß ziehen lassen.|Brötchen aufschneiden, Würstchen einlegen.|Mit Gurken, Röstzwiebeln und Saucen servieren.","fingerfood,party"
thai-rote-curry-suppe,Thai Rote Curry Suppe,"Würzige Suppe mit Kokosmilch, roter Currypaste, Gemüse und Hähnchen/Tofu. TM-Hinweis: Alles im Mixtopf 15–20 Min./100°C garen.",4 Portionen,PT30M,"1 Zwiebel|1 EL rote Currypaste|1 l Gemüse- oder Hühnerbrühe|400 ml Kokosmilch|300 g Hähnchenbrust oder Tofu|1 rote Paprika|1 Karotte|1 Zucchini|1 EL Öl|Salz, Pfeffer, Limettensaft","Zwiebel in Öl anschwitzen, Currypaste kurz mitrösten.|Mit Brühe und Kokosmilch aufgießen.|Hähnchen/Tofu und Gemüse in Stücke schneiden, in der Suppe 10–12 Minuten garen.|Mit Salz, Pfeffer, Limette abschmecken.","suppe,asia"
lahmacun,Lahmacun,"Türkische Fladen mit würziger Hackbelag, frisch gerollt mit Salat. TM-Hinweis: Teig 2 Min./Knetstufe; Belag im Mixtopf zerkleinern.",4 Portionen,PT1H20M,"Teig: 500 g Mehl, 300 ml Wasser, 1 Päckchen Trockenhefe, 1 TL Zucker, 1 TL Salz, 2 EL Öl|Belag: 400 g Hack (Rind/Lamm), 1 Zwiebel, 1 rote Paprika, 2 Tomaten, 2 EL Tomatenmark, Petersilie, Salz, Pfeffer, Paprika","Teig kneten und 45–60 Minuten gehen lassen.|Belag-Zutaten fein hacken/mixen und mit Hack mischen, würzen.|Teig dünn ausrollen, Belag dünn verstreichen.|Bei 250°C 6–8 Minuten backen. Mit Salat/Rotkohl/Soße einrollen.","tuerkisch,streetfood"
fisch-mit-brokkoli-aus-dem-ofen,Fisch mit Brokkoli aus dem Ofen,Einfaches Blechgericht: Fischfilets und Brokkoli mit Zitrone. TM-Hinweis: Beilage (Kartoffeln) im Varoma möglich.,4 Portionen,PT25M,"4 Fischfilets (z. B. Kabeljau, Lachs)|1 großer Brokkoli|2 EL Olivenöl|1 Zitrone|Salz, Pfeffer|optional: kleine Kartoffeln als Beilage","Brokkoli in Röschen teilen, auf Blech verteilen.|Fischfilets auflegen, mit Öl, Salz, Pfeffer und Zitronensaft würzen.|Bei 200°C ca. 15–20 Minuten garen.|Mit Zitronenspalten servieren.","leicht,ofen,fisch"
salat-mit-feta-und-bacon,Salat mit Feta und Bacon,Körniger Salatmix mit knusprigem Speck und Feta. TM-Hinweis: Dressing 5 Sek./Stufe 4.,4 Portionen,PT15M,"200 g Blattsalat-Mix|150 g Bacon|150 g Feta|1 rote Zwiebel|Dressing: 3 EL Olivenöl, 1 EL Balsamico, 1 TL Senf, Salz, Pfeffer","Bacon knusprig auslassen.|Salat waschen, Zwiebel in feine Ringe, Feta würfeln.|Dressing rühren, mit Salat, Feta und Bacon mischen.","salat,schnell"
shepherd-s-pie,Shepherd’s Pie,Britischer Auflauf mit Hack und Erbsen unter Kartoffelpüree. TM-Hinweis: Püree im Mixtopf; Hackpfanne separat.,4 Portionen,PT1H,"600 g Hack (Lamm/Rind)|1 Zwiebel|2 Möhren|150 g Erbsen (TK)|2 EL Tomatenmark|200 ml Brühe|2 EL Öl|Püree: 1 kg Kartoffeln, 200 ml Milch, 40 g Butter, Salz, Muskat|Salz, Pfeffer, Thymian","Kartoffeln für Püree garen und stampfen (mit Milch/Butter).|Hack mit Zwiebel und Möhren anbraten, Tomatenmark rösten, mit Brühe ablöschen, Erbsen zugeben.|Masse in Auflaufform geben, Püree daraufstreichen.|Bei 200°C ca. 25 Minuten backen.","auflauf,britisch"
feta-nudeln,Feta-Nudeln,"Ofengericht: Feta mit Tomaten backen, mit Pasta vermengen. TM-Hinweis: Pasta kochen; Sauce im Ofen.",4 Portionen,PT30M,"400 g Pasta|200 g Feta|400 g Cherrytomaten|2 Knoblauchzehen|2 EL Olivenöl|Basilikum|Salz, Pfeffer, Chili","Feta und Tomaten mit Knoblauch und Öl in eine Form geben, bei 200°C 20 Minuten backen.|Pasta kochen, mit der gebackenen Feta-Tomaten-Sauce mischen.|Mit Basilikum, Salz, Pfeffer abschmecken.","viral,pasta,vegetarisch"
bibimbap,Bibimbap,"Koreanische Reis-Schüssel mit Gemüse, Ei und optional Rind. TM-Hinweis: Reis im Garkorb; Gochujang-Sauce 5 Sek./Stufe 5.",4 Portionen,PT40M,300 g Reis|300 g Rindfleisch in Streifen (optional)|1 Möhre|1 Zucchini|200 g Spinat|200 g Pilze|4 Eier|2 EL Sojasoße|1 EL Sesamöl|1 EL Gochujang (Chilipaste)|1 TL Zucker|Sesam,"Reis garen.|Gemüse in Streifen schneiden und getrennt kurz braten (Spinat nur zusammenfallen lassen).|Fleisch scharf anbraten (optional).|Sauce aus Sojasoße, Sesamöl, Gochujang, Zucker rühren.|Alles auf Reis anrichten, Spiegelei obenauf, mit Sauce und Sesam servieren.","koreanisch,bowl"
kichererbsen-curry,Kichererbsen-Curry,Veganes Curry mit Kichererbsen und Tomate-Kokos. TM-Hinweis: Alles im Mixtopf 15–20 Min./100°C garen.,4 Portionen,PT30M,"2 Dosen Kichererbsen (abgetropft)|1 Zwiebel|2 Knoblauchzehen|2 cm Ingwer|1 Dose Tomaten (400 g)|400 ml Kokosmilch|2 EL Currypulver oder Garam Masala|1 EL Öl|Salz, Pfeffer|Koriander","Zwiebel, Knoblauch, Ingwer anschwitzen.|Currypulver kurz mitrösten, Tomaten und Kokosmilch zugeben.|Kichererbsen einrühren, 10–15 Minuten köcheln; abschmecken.|Mit Koriander servieren; dazu Reis.","vegan,curry"
